session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,First language,Nationality,Sex,Student Status,Vision
5fb5078d69209a32779b3052,5e9a12283ede3b09d611fc63,APPROVED,2020-11-18 11:37:49.733000,2020-11-18 11:40:56.521000,186.788,35,206,1,100,2020-11-18 12:00:09.908000,12297024,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,No,Yes
5fb5078f83706c31fe4929b6,598caf6833481c000164d13d,APPROVED,2020-11-18 11:37:51.971000,2020-11-18 11:42:04.929000,252.958,34,604,2,100,2020-11-18 12:00:29.449000,12297024,United Kingdom,United Kingdom,Unemployed (and job seeking),English,English,United Kingdom,Female,No,Yes
5fb50792d9ece51ed0c62d41,5e3b0defeab8663234a735c0,RETURNED,2020-11-18 11:38:02.216000,,1040230.944048,58,108,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5fb50797d87fe10e5147fa26,5b27b81293707800011eabdd,APPROVED,2020-11-18 11:38:03.112000,2020-11-18 11:41:57.763000,234.651,41,510,0,100,2020-11-18 12:00:34.459000,12297024,United Kingdom,United Kingdom,Full-Time,English,,United Kingdom,Female,No,Yes
5fb50798e7727c0f1c9ece73,5f06e52b7c150325f9847a91,APPROVED,2020-11-18 11:38:04.508000,2020-11-18 11:40:39.878000,155.37,34,63,0,100,2020-11-18 12:00:44.134000,12297024,United Kingdom,United Kingdom,Full-Time,English,,United Kingdom,Male,No,Yes
5fb50798ba694033ec982362,5ce97c72bbc8bd001b07e9bb,APPROVED,2020-11-18 11:38:04.882000,2020-11-18 11:41:18.342000,193.46,46,424,2,100,2020-11-18 12:00:39.913000,12297024,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Female,No,Yes
5fb5079a99d7560eca0c0236,5e7f44cb39a859000d71e75d,APPROVED,2020-11-18 11:38:51.645000,2020-11-18 11:41:56.212000,184.567,23,146,0,100,2020-11-18 12:00:47.369000,12297024,United Kingdom,United Kingdom,Full-Time,English,,United Kingdom,Male,No,Yes
5fb5079c15c44b1e4a450abe,5f6ba43445449f0e8c93c79c,APPROVED,2020-11-18 11:38:09.230000,2020-11-18 11:45:42.614000,453.384,26,26,0,100,2020-11-18 12:00:50.753000,12297024,South Africa,South Africa,Unemployed (and job seeking),DATA EXPIRED,English,Philippines,Male,Yes,Yes
5fb5079d3a01710decc76569,5fb19bc7756c376ae2118013,APPROVED,2020-11-18 11:38:05.826000,2020-11-18 11:44:47.476000,401.65,19,12,0,100,2020-11-18 12:00:53.799000,12297024,United Kingdom,United Kingdom,Unemployed (and job seeking),DATA EXPIRED,English,United Kingdom,Male,No,Yes
5fb5079ecb5e3f0e4dfe4cf7,5f2b247cb986da52666bc94f,APPROVED,2020-11-18 11:38:06.364000,2020-11-18 11:41:59.450000,233.086,27,47,0,100,2020-11-18 12:00:57.539000,12297024,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Female,Yes,Yes
5fb507a09f1ebc325f902e4d,5f37a143822a9e21d4b9e3d8,RETURNED,2020-11-18 11:38:12.637000,,1040222.00423,20,54,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5fb507a08892dc327da5dd3e,5eac7881dd21e80fd4a46906,APPROVED,2020-11-18 11:38:16.398000,2020-11-18 11:42:46.823000,270.425,57,132,0,100,2020-11-18 12:01:00.946000,12297024,Kenya,United Kingdom,Part-Time,English,English,United Kingdom,Female,No,Yes
5fb507a15907861eedaa5482,5e542832505b9f08adc26982,APPROVED,2020-11-18 11:38:09.384000,2020-11-18 11:48:23.135000,613.751,24,162,3,98,2020-11-18 12:01:05.361000,12297024,United States,United States,Unemployed (and job seeking),English,,Korea,Female,No,Yes
5fb507a370b5cf330be52a1c,5c1bf5ae10677f0001d9a382,APPROVED,2020-11-18 11:38:14.747000,2020-11-18 11:40:43.690000,148.943,31,214,2,100,2020-11-18 12:01:09.036000,12297024,United Kingdom,United Kingdom,Part-Time,English,English,United Kingdom,Female,No,Yes
5fb507a7c55b86337df288b8,5ac3b825e734400001da2436,APPROVED,2020-11-18 11:38:15.957000,2020-11-18 11:42:39.346000,263.389,28,529,13,96,2020-11-18 12:01:13.092000,12297024,United Kingdom,United Kingdom,Full-Time,English,,United Kingdom,Female,No,Yes
5fb507a94e5d4d2f782ef63d,597a088221db3a00014176c3,APPROVED,2020-11-18 11:38:20.977000,2020-11-18 11:41:41.904000,200.927,29,170,3,99,2020-11-18 13:00:00.019000,12297024,United Kingdom,United Kingdom,Part-Time,English,English,United Kingdom,Female,No,Yes
5fb507ae415f163279def8f0,5f082b98958a65000839e006,APPROVED,2020-11-18 11:38:22.443000,2020-11-18 11:41:57.295000,214.852,23,66,0,100,2020-11-18 12:01:17.586000,12297024,United Kingdom,Ireland,Unemployed (and job seeking),English,English,Ireland,Male,No,Yes
5fb507b04e5d4d30e4ff5975,5f0aa84ceaaa9537e0ece32a,APPROVED,2020-11-18 11:39:09.543000,2020-11-18 11:42:59.622000,230.079,34,46,1,100,2020-11-18 12:01:23.410000,12297024,United Kingdom,United Kingdom,Full-Time,English,,United Kingdom,Female,No,Yes
5fb507b0b58ab930bb71b41b,5c9be2dd2464d80016c30659,APPROVED,2020-11-18 11:38:29.019000,2020-11-18 11:40:51.812000,142.793,38,235,3,99,2020-11-18 12:01:27.509000,12297024,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Female,No,Yes
5fb507b1282b202f78f9fbc3,5ec581cf622b97588396783f,APPROVED,2020-11-18 11:38:25.328000,2020-11-18 11:40:59.307000,153.979,29,167,4,98,2020-11-18 12:01:33.468000,12297024,United Kingdom,United Kingdom,Unemployed (and job seeking),English,English,United Kingdom,Female,No,Yes
5fb507b3d4680a329d0b9d88,5e132349b199e49599de669e,APPROVED,2020-11-18 11:38:54.437000,2020-11-18 11:43:41.199000,286.762,49,232,0,100,2020-11-18 12:01:40.477000,12297024,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,,United Kingdom,Female,No,Yes
5fb507b4fe4b740e4b4f8978,5eb3e765a781b11dc852fcd6,APPROVED,2020-11-18 11:38:38.854000,2020-11-18 11:43:30.343000,291.489,21,75,0,100,2020-11-18 12:01:47.709000,12297024,United Kingdom,United Kingdom,Part-Time,English,,United Kingdom,Female,Yes,Yes
5fb507b5b58ab931a3428a65,596e0bc6780e5c00018522c0,RETURNED,2020-11-18 11:38:47.472000,,1040189.630053,30,704,7,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
