session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,First language,Nationality,Sex,Student Status
5f7720ff16e2141f28b41868,5ed439490d3b490dff836401,APPROVED,45:55.6,49:09.5,193.869,32,106,0,100,49:15.8,3124843D,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,No
5f772104d74b081f7a4effd5,5b64de377b7f8600011305fa,APPROVED,46:06.8,49:05.3,178.472,28,479,0,100,49:12.8,3124843D,Ireland,Ireland,Full-Time,English,English,Ireland,Male,No
5f7721073330d91ff89f8924,563f7a87cbd4c60011dc955e,APPROVED,45:59.4,57:35.4,696.01,33,159,8,95,16:45.9,3124843D,United Kingdom,United Kingdom,Full-Time,English,,United Kingdom,Female,No
5f772109a519661f983bd396,5f48068ea08b2128ce23a268,APPROVED,46:03.8,47:57.6,113.792,23,11,0,100,49:07.3,3124843D,United Kingdom,,Part-Time,,English,United Kingdom,Male,Yes
5f77210a3f4b050890c021c2,5c3b93606c3b0300019880cc,APPROVED,51:31.6,54:15.7,164.123,28,477,2,100,56:52.7,3124843D,United Kingdom,United Kingdom,Full-Time,English,,United Kingdom,Female,No
5f77210c9c1fa30843312525,5eda077aac6f1d000c2fcc8a,APPROVED,46:05.8,47:54.3,108.546,20,86,2,99,48:59.1,3124843D,United Kingdom,United Kingdom,Unemployed (and job seeking),English,English,United Kingdom,Female,Yes
5f77210e3330d91fa66a3a8b,5ee18255395f8655ae190e48,APPROVED,46:18.7,50:27.1,248.433,35,45,0,100,51:57.1,3124843D,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,No
5f77210f0558ee1ebe2f554f,5c80367593fa450014546aca,APPROVED,46:09.8,48:38.0,148.189,27,353,2,100,49:00.9,3124843D,United Kingdom,United Kingdom,Full-Time,English,,United Kingdom,Female,No
5f7721103a2eb61f5ac84c72,5ef8f38338b9f06826ee1fa3,APPROVED,47:54.5,51:23.8,209.303,26,65,0,100,51:52.3,3124843D,United Kingdom,United Kingdom,Unemployed (and job seeking),English,,United Kingdom,Female,No
5f772118f4c1011f52ca7d3f,5e8921dcec9b335baaacec8c,APPROVED,46:17.9,49:13.1,175.212,29,55,0,100,49:37.7,3124843D,United Kingdom,United Kingdom,Other,English,English,United Kingdom,Male,Yes
5f7721198c0eb71ea5c4f1ad,5f43507374208659c3b31032,APPROVED,46:23.5,50:15.2,231.719,33,21,0,100,51:56.4,3124843D,New Zealand,Australia,"Not in paid work (e.g. homemaker', 'retired or disabled)",DATA EXPIRED,English,New Zealand,Male,Yes
